sample_ID,NOTES,genotype,treatment,rep_number_tank,coral_species,sp,tank,Timepoint,DNA
A08_1_6SP,DEAD,A08,6SP,1,Porites compressa,PCOM,TANK16,T1,
B05_1_6SP,DEAD,B05,6SP,1,Montipora capitata,MCAP,TANK16,T1,
B06_1_6SP,DEAD,B06,6SP,1,Montipora capitata,MCAP,TANK16,T1,
B07_1_6SP,DEAD,B07,6SP,1,Montipora capitata,MCAP,TANK16,T1,
B08_1_6SP,DEAD,B08,6SP,1,Montipora capitata,MCAP,TANK16,T1,
C05_1_6SP,DEAD,C05,6SP,1,Pocillopora meandrina,PMEA,TANK16,T1,
C06_1_6SP,DEAD,C06,6SP,1,Pocillopora meandrina,PMEA,TANK16,T1,
C07_1_6SP,DEAD,C07,6SP,1,Pocillopora meandrina,PMEA,TANK16,T1,
C08_1_6SP,DEAD,C08,6SP,1,Pocillopora meandrina,PMEA,TANK16,T1,
D05_1_6SP,DEAD,D05,6SP,1,Pavona varians,PVAR,TANK16,T1,
D06_1_6SP,DEAD,D06,6SP,1,Pavona varians,PVAR,TANK16,T1,
D07_1_6SP,DEAD,D07,6SP,1,Pavona varians,PVAR,TANK16,T1,
D08_1_6SP,DEAD,D08,6SP,1,Pavona varians,PVAR,TANK16,T1,
E05_1_6SP,DEAD,E05,6SP,1,Leptastrea purpurea,LPUR,TANK16,T1,
E06_1_6SP,DEAD,E06,6SP,1,Leptastrea purpurea,LPUR,TANK16,T1,
E07_1_6SP,DEAD,E07,6SP,1,Leptastrea purpurea,LPUR,TANK16,T1,
E08_1_6SP,DEAD,E08,6SP,1,Leptastrea purpurea,LPUR,TANK16,T1,
F05_1_6SP,DEAD,F05,6SP,1,Porites evermanni,PEVE,TANK16,T1,
F06_1_6SP,DEAD,F06,6SP,1,Porites evermanni,PEVE,TANK16,T1,
F07_1_6SP,DEAD,F07,6SP,1,Porites evermanni,PEVE,TANK16,T1,
F08_1_6SP,DEAD,F08,6SP,1,Porites evermanni,PEVE,TANK16,T1,
